run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
4287,5113,1162,184063,APOEL - 9083,APOEL (nicosia) v PSV (eindhoven) - 2862.0
4288,5391,1214,194093,Sevilla - 8552,Fenerbahçe (istanbul) v Sevilla (seville) - 3019.0
4289,5224,1185,188052,Benfica - 10313,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
4290,6029,1373,217039,Maccabi Haifa - 12398,Sporting CP (lisbon) v Maccabi Haifa (haifa) - 3997.0
4291,5472,1233,196995,Qarabağ - 19201,Benfica (lisbon) v Qarabağ (baku) - 4968.0
4292,5178,1157,186419,FC Porto - 8783,Bodø/Glimt (bodø) v FC Porto (porto) - 3224.0
4293,5568,1273,200457,H. Beer Sheva - 14181,Rangers (glasgow) v H. Beer Sheva (beer sheva) - 4078.0
4294,4927,1093,177375,Fenerbahçe - 10675,Hearts (edinburgh) v Fenerbahçe (istanbul) - 2854.0
4295,6228,1381,224219,Qarabağ - 21716,Qarabağ (baku) v Benfica (lisbon) - 4968.0
4296,5462,1232,196617,APOEL - 12008,APOEL (nicosia) v FC Porto (porto) - 3694.0
4297,5436,1236,195685,Sheriff - 11178,Sevilla (seville) v Sheriff (tiraspol) - 3099.0
4298,5265,1187,189538,Olympiacos - 9034,FC Porto (porto) v Dynamo Kyiv (bucharest) - 2834.0
4299,5452,1237,196275,Adana Demirspor - 12402,Adana Demirspor (adana) v FC Porto (porto) - 3780.0
4300,5086,1133,183102,Bodø/Glimt - 12696,Atlético de Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
4301,4970,1125,178916,Dynamo Kyiv - 9629,Dynamo Kyiv (bucharest) v Benfica (lisbon) - 2975.0
4302,5408,1236,194700,Galatasaray - 9605,Rangers (glasgow) v Fenerbahçe (istanbul) - 2912.0
4303,5610,1255,201968,Fenerbahçe - 10396,Fenerbahçe (istanbul) v Real Betis (seville) - 3019.0
4304,5251,1192,189051,Villarreal - 8916,Bodø/Glimt (bodø) v Villarreal (villarreal) - 3165.0
4305,4759,1084,171336,Atlético de Madrid - 8519,Sevilla (seville) v Partizan (belgrade) - 2350.0
4306,5251,1186,189022,Olympiacos - 10292,Sevilla (seville) v Galatasaray (istanbul) - 3019.0
4307,5793,1327,208553,H. Beer Sheva - 11625,Arsenal (london) v H. Beer Sheva (beer sheva) - 3625.0
4308,5185,1165,186646,Flora Tallinn - 10419,Benfica (lisbon) v Flora Tallinn (tallinn) - 3311.0
4309,5966,1339,214778,APOEL - 12773,Chelsea (london) v APOEL (nicosia) - 3218.0
4310,5522,1240,198781,Bodø/Glimt - 13809,Bodø/Glimt (bodø) v Real Betis (seville) - 3562.0
4311,5382,1221,193736,Dinamo Tbilisi - 14039,Sevilla (seville) v Dinamo Tbilisi (tbilisi) - 4317.0
4312,5553,1243,199919,Maccabi Haifa - 11394,Maccabi Haifa (haifa) v Sevilla (seville) - 3733.0
4313,6078,1356,218818,H. Beer Sheva - 17277,Liverpool (liverpool) v H. Beer Sheva (beer sheva) - 3890.0
4314,6175,1403,222300,Qarabağ - 14819,Qarabağ (baku) v Sporting CP (lisbon) - 4968.0
4315,4578,1031,164809,Sevilla - 9369,Crvena zvezda (belgrade) v Sevilla (seville) - 2350.0
4316,4867,1097,175225,Bodø/Glimt - 10775,Bodø/Glimt (bodø) v Osasuna (pamplona) - 2886.0
4317,5472,1253,197009,Qarabağ - 17081,Real Betis (seville) v Qarabağ (baku) - 4767.0
4318,5271,1179,189754,Neftçi - 17890,Neftçi (baku) v Real Madrid (madrid) - 4466.0
4319,5520,1232,198734,FC Porto - 9824,Fenerbahçe (istanbul) v FC Porto (porto) - 3126.0
4320,5321,1191,191565,Qarabağ - 19507,Real Madrid (madrid) v Qarabağ (baku) - 4466.0
4321,5244,1185,188795,Maccabi Haifa - 14480,Rangers (glasgow) v Maccabi Haifa (haifa) - 3952.0
4322,5370,1220,193336,Bodø/Glimt - 11352,Real Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
4323,5606,1269,201833,H. Beer Sheva - 12995,Liverpool (liverpool) v H. Beer Sheva (beer sheva) - 3890.0
4324,6368,1436,229237,Ordabasy - 19198,Ordabasy (shymkent) v Aberdeen (aberdeen) - 5142.0
4325,4962,1111,178646,Bodø/Glimt - 11419,Atlético de Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
4326,5662,1280,203815,Real Betis - 9335,Benfica (lisbon) v Sheriff (tiraspol) - 3264.0
4327,5394,1210,194187,Dynamo Kyiv - 8611,Villarreal (villarreal) v Bodø/Glimt (bodø) - 3165.0
4328,5304,1202,190939,Sheriff - 9657,Aberdeen (aberdeen) v Olympiacos (piraeus) - 2844.0
4329,5581,1271,200922,H. Beer Sheva - 11160,H. Beer Sheva (beer sheva) v Liverpool (liverpool) - 3890.0
